epoch,train_loss,val_loss
1,0.6924186757421985,0.6921169872257784
2,0.6793337422547882,0.6851030828965865
3,0.6709929844276192,0.683699855311915
4,0.6700492517235352,0.6834815863717408
5,0.6694972550991884,0.6840653655951812
6,0.6694727979247103,0.6836546713952827
7,0.6690021371349846,0.6853275932167304
8,0.6692957865577384,0.6835910307423942
9,0.668963243101061,0.683718124952787
10,0.668980889467849,0.6840293764850122
11,0.668874562671504,0.6837593552399379
12,0.6687502981215409,0.6837313765799542
13,0.6685381516230475,0.6842655126529812
14,0.6686138717661199,0.6838368980496632
15,0.6684653019167713,0.6847670169809401
16,0.6688756721781701,0.6839435971197306
17,0.6684630641003245,0.684046579344399
18,0.6684182265861747,0.6839452614731937
19,0.6681953526526382,0.6843188913910219
